Название предупреждения,Дата и время,Скважина,Общая картина,Параметр по которому была отмечена аномалия,Комментарий,Unnamed: 6
Рост параметров при постоянной частоте,11.12.24 01:22 - 18.12.24 21:35,454,19.11.24 00:00 - 19.12.24 23:59,давление на приеме   рабочая частота                              ,рост давления на приеме в т.ч. и при увеличении частоты,каждую скважину по каждому виду в разных интервалах 
Срыв подачи             Пила по различным параметрам,16.12.24 10:35 - 18.12.24 22:15,454,19.11.24 00:00 - 19.12.24 23:59,давление на приеме   рабочая частота                                    ток                         загрузка,переход в режим срыва подачи. Пила по току и загрузке при стабильной частоте,"смотрим показатели 4 причины высокое содержание газа, мех примеси, негерметичность нкт, парафиновые отложения "
Рост параметров при постоянной частоте,03.12.24 01:08 -   03.12.24 15:41,1537Б,16.03.19 00:00 -16.04.19 23:59,давление на приеме                 загрузка                        ток           ,Скачки давления на приеме,
Рост параметров при постоянной частоте,26.11.24 07:19 -   26.11.24 15:24,1537Б,16.03.19 00:00 -16.04.19 23:59,давление на приеме                 загрузка                        ток           ,Скачки давления на приеме,
Рост параметров при постоянной частоте,30.11.24 05:48 -  30.11.24 11:05,1537Б,16.03.19 00:00 -16.04.19 23:59,давление на приеме                 загрузка                        ток           ,Скачки давления на приеме,
Рост давления на приеме в режиме АПВ,18.12.24 17:52 -22.12.24 01:01,40833,25.11.24 00:00 -25.12.24 23:59,давление на приеме                 загрузка                        ток           ,Рост давления на приеме в режиме АПВ,
Нестабильная работа в режиме АПВ,10.10.24 13:47 - 10.10.24 18:46,48359,01.10.24 00:00 - 12.10.24 23:59,состояние скважины     загрузка              рабочая частота             ток ,нарушена переодичность запусков,
Срыв подачи,15.05.24 09:52 - 20.06.24 10:04,48361,01.05.24 00:00 - 16.06.24 23:59,загрузка                          ток                          рабочая частота  давление на приеме,установка работает в режиме срыва подачи ,
Рост параметров при постоянной частоте,17.05.24 07:57 - 15.06.24 19:57,50184,29.04.24 00:00 - 01.07.24 23:59,рабочая частота  давление на приеме,рост давления на приеме ,
Падение давления на приеме при постоянной частоте ,20.11.24 23:16 - 21.11.24 17:43,339,19.11.24 00:00 - 19.12.24 23:59,рабочая частота  давление на приеме,Падение давления на приеме при постоянной частоте ,
Падение давления на приеме при постоянной частоте ,26.11.24 05:52 - 26.11.24 18:13,339,19.11.24 00:00 - 19.12.24 23:59,рабочая частота  давление на приеме,Падение давления на приеме при постоянной частоте ,
Падение давления на приеме при постоянной частоте ,30.11.24 05:48 - 30.11.24 12:39,339,19.11.24 00:00 - 19.12.24 23:59,рабочая частота  давление на приеме,Падение давления на приеме при постоянной частоте ,
Падение давления на приеме при постоянной частоте ,09.12.24 21:54 - 10.12.24 17:21,339,19.11.24 00:00 - 19.12.24 23:59,рабочая частота  давление на приеме,Падение давления на приеме при постоянной частоте ,
Падение давления на приеме при постоянной частоте ,16.12.24 19:13 - 17.12.24 18:59,339,19.11.24 00:00 - 19.12.24 23:59,рабочая частота  давление на приеме,Падение давления на приеме при постоянной частоте ,
Отказ или сбой ТМС,24.07.2024  06:41 - 24.07.24 15:21,234,01.06.24 00:00 - 15.08.24 23:39,давление на приеме,падение давления на приеме до нуля,
Отказ или сбой ТМС,03.08.2024  13:49 - 06.08.24 10:35,234,01.06.24 00:00 - 15.08.24 23:39,загрузка                          ток                          рабочая частота  давление на приеме,падение давления и изменение тока и загрузки при постоянной частоте,
Отсутствует частота,22.11.24 22:20 - 25.11.24 13:49,978,19.11.24 00:00 - 19.12.24 23:59,давление на приеме   рабочая частота                                    ток                         загрузка,"отсутствуют показания по частоте, хотя видно, что скважина в работе, есть данные по токам и загрузке, а давление на приеме снижается ",
Рост давления на приеме,04.11.24 14:10 - 10.12.24 09:50,962,03.11.24 00:00 - 23.12.24 23:59,давление на приеме   рабочая частота                                    ток                         загрузка,Обращаем внимание на холмик,
