well_id,type,detected_time,actual_type,actual_start,actual_end,status,detail
5271г,Negermet,2025-08-15 00:39:52,Negermet,2025-08-15 00:37:00,2025-08-15 01:36:00,Detected,"Detected (jump=3.416, shift6h=18.545)"
1123л,Negermet,2025-06-21 08:35:19,Negermet,2025-06-21 08:32:00,2025-06-21 21:50:00,Detected,"Detected (jump=1.570, shift6h=25.990)"
524,Negermet,2025-06-09 19:51:30,Negermet,2025-06-09 19:40:00,2025-06-10 13:35:00,Detected,"Detected (jump=1.048, shift6h=34.095)"
1128г,Negermet,2025-03-16 19:01:02,Negermet,2025-03-16 17:47:00,2025-03-17 12:03:00,Detected,"Detected (jump=1.012, shift6h=10.510)"
3509г,Negermet,2025-08-10 10:15:53,Negermet,2025-08-10 09:51:00,2025-08-10 18:54:00,Detected,"Detected (jump=0.638, shift6h=11.120)"
4651,Negermet,2025-01-28 16:00:44,Negermet,2025-01-28 15:48:00,2025-01-29 12:35:00,Detected,"Detected (jump=1.340, shift6h=12.430)"
495,Pritok,2025-10-07 09:00:00,Pritok,2025-10-08 00:00:00,2025-10-17 20:50:54,Detected,"Negative Trend found (Slope: -0.0203, R2: 0.66)"
3261,Pritok,2025-10-20 11:00:00,Pritok,2025-10-21 00:00:00,2025-11-15 01:49:06,Detected,"Positive Trend found (Slope: 0.0189, R2: 0.12)"
902,Pritok,2025-10-20 08:00:00,Pritok,2025-10-22 00:00:00,2025-11-15 01:59:32,Detected,"Negative Trend found (Slope: -0.1990, R2: 0.05)"
906,Pritok,2025-10-22 10:00:00,Pritok,2025-10-22 00:00:00,2025-11-16 01:53:43,Detected,"Negative Trend found (Slope: -0.0057, R2: 0.06)"
1772,Pritok,2025-10-22 15:00:00,Pritok,2025-10-22 00:00:00,2025-11-16 01:56:53,Detected,"Negative Trend found (Slope: -0.0042, R2: 0.29)"
1120г,Pritok,2025-10-15 02:00:00,Pritok,2025-10-15 00:00:00,2025-11-15 01:56:51,Detected,"Negative Trend found (Slope: -0.0064, R2: 0.55)"
42117,Meha,2022-12-01 00:00:00,Meha,2022-12-01 00:00:00,2023-01-31 23:59:59,Detected,"Detected (first run days: 5, baseline_days=30, k=3.0, run_days=5, resample=15min, trim_q=0.6)"
42483,Meha,2021-12-01 00:00:00,Meha,2021-12-01 00:00:00,2022-12-31 23:59:59,Detected,"Detected (first run days: 3, baseline_days=30, k=2.4, run_days=3, resample=15min, trim_q=0.6)"
42539,Meha,2022-10-01 00:00:00,Meha,2022-10-01 00:00:00,2023-02-28 23:59:59,Detected,"Detected (first run days: 3, baseline_days=30, k=2.4, run_days=3, resample=15min, trim_q=0.6)"
42541,Meha,2022-09-01 00:00:00,Meha,2022-09-01 00:00:00,2023-02-28 23:59:59,Detected,"Detected (first run days: 7, baseline_days=30, k=3.6, run_days=7, resample=15min, trim_q=0.6)"
45085,Meha,2021-03-03 00:00:00,Meha,2021-03-01 00:00:00,2022-01-31 23:59:59,Detected,"Detected (first run days: 3, baseline_days=30, k=2.4, run_days=3, resample=15min, trim_q=0.6)"
47505,Meha,2022-09-08 00:00:00,Meha,2022-09-01 00:00:00,2023-02-28 23:59:59,Detected,"Detected (longest segment days: 2, baseline_days=30, k=3.6, run_days=7, resample=15min, trim_q=0.6)"
48008,Meha,2022-06-01 00:00:00,Meha,2022-06-01 00:00:00,2022-12-31 23:59:59,Detected,"Detected (first run days: 5, baseline_days=30, k=3.0, run_days=5, resample=15min, trim_q=0.6)"
